accelerometer0_X0,accelerometer0_X1,accelerometer0_X2,accelerometer0_X3,accelerometer0_X4,accelerometer0_X5,accelerometer0_X6,accelerometer0_X7,accelerometer0_X8,accelerometer0_X9,accelerometer0_Y0,accelerometer0_Y1,accelerometer0_Y2,accelerometer0_Y3,accelerometer0_Y4,accelerometer0_Y5,accelerometer0_Y6,accelerometer0_Y7,accelerometer0_Y8,accelerometer0_Y9,accelerometer0_Z0,accelerometer0_Z1,accelerometer0_Z2,accelerometer0_Z3,accelerometer0_Z4,accelerometer0_Z5,accelerometer0_Z6,accelerometer0_Z7,accelerometer0_Z8,accelerometer0_Z9,accelerometer1_X0,accelerometer1_X1,accelerometer1_X2,accelerometer1_X3,accelerometer1_X4,accelerometer1_X5,accelerometer1_X6,accelerometer1_X7,accelerometer1_X8,accelerometer1_X9,accelerometer1_Y0,accelerometer1_Y1,accelerometer1_Y2,accelerometer1_Y3,accelerometer1_Y4,accelerometer1_Y5,accelerometer1_Y6,accelerometer1_Y7,accelerometer1_Y8,accelerometer1_Y9,accelerometer1_Z0,accelerometer1_Z1,accelerometer1_Z2,accelerometer1_Z3,accelerometer1_Z4,accelerometer1_Z5,accelerometer1_Z6,accelerometer1_Z7,accelerometer1_Z8,accelerometer1_Z9,accelerometer2_X0,accelerometer2_X1,accelerometer2_X2,accelerometer2_X3,accelerometer2_X4,accelerometer2_X5,accelerometer2_X6,accelerometer2_X7,accelerometer2_X8,accelerometer2_X9,accelerometer2_Y0,accelerometer2_Y1,accelerometer2_Y2,accelerometer2_Y3,accelerometer2_Y4,accelerometer2_Y5,accelerometer2_Y6,accelerometer2_Y7,accelerometer2_Y8,accelerometer2_Y9,accelerometer2_Z0,accelerometer2_Z1,accelerometer2_Z2,accelerometer2_Z3,accelerometer2_Z4,accelerometer2_Z5,accelerometer2_Z6,accelerometer2_Z7,accelerometer2_Z8,accelerometer2_Z9,accelerometer3_X0,accelerometer3_X1,accelerometer3_X2,accelerometer3_X3,accelerometer3_X4,accelerometer3_X5,accelerometer3_X6,accelerometer3_X7,accelerometer3_X8,accelerometer3_X9,accelerometer3_Y0,accelerometer3_Y1,accelerometer3_Y2,accelerometer3_Y3,accelerometer3_Y4,accelerometer3_Y5,accelerometer3_Y6,accelerometer3_Y7,accelerometer3_Y8,accelerometer3_Y9,accelerometer3_Z0,accelerometer3_Z1,accelerometer3_Z2,accelerometer3_Z3,accelerometer3_Z4,accelerometer3_Z5,accelerometer3_Z6,accelerometer3_Z7,accelerometer3_Z8,accelerometer3_Z9,accelerometer4_X0,accelerometer4_X1,accelerometer4_X2,accelerometer4_X3,accelerometer4_X4,accelerometer4_X5,accelerometer4_X6,accelerometer4_X7,accelerometer4_X8,accelerometer4_X9,accelerometer4_Y0,accelerometer4_Y1,accelerometer4_Y2,accelerometer4_Y3,accelerometer4_Y4,accelerometer4_Y5,accelerometer4_Y6,accelerometer4_Y7,accelerometer4_Y8,accelerometer4_Y9,accelerometer4_Z0,accelerometer4_Z1,accelerometer4_Z2,accelerometer4_Z3,accelerometer4_Z4,accelerometer4_Z5,accelerometer4_Z6,accelerometer4_Z7,accelerometer4_Z8,accelerometer4_Z9,accelerometer5_X0,accelerometer5_X1,accelerometer5_X2,accelerometer5_X3,accelerometer5_X4,accelerometer5_X5,accelerometer5_X6,accelerometer5_X7,accelerometer5_X8,accelerometer5_X9,accelerometer5_Y0,accelerometer5_Y1,accelerometer5_Y2,accelerometer5_Y3,accelerometer5_Y4,accelerometer5_Y5,accelerometer5_Y6,accelerometer5_Y7,accelerometer5_Y8,accelerometer5_Y9,accelerometer5_Z0,accelerometer5_Z1,accelerometer5_Z2,accelerometer5_Z3,accelerometer5_Z4,accelerometer5_Z5,accelerometer5_Z6,accelerometer5_Z7,accelerometer5_Z8,accelerometer5_Z9,accelerometer6_X0,accelerometer6_X1,accelerometer6_X2,accelerometer6_X3,accelerometer6_X4,accelerometer6_X5,accelerometer6_X6,accelerometer6_X7,accelerometer6_X8,accelerometer6_X9,accelerometer6_Y0,accelerometer6_Y1,accelerometer6_Y2,accelerometer6_Y3,accelerometer6_Y4,accelerometer6_Y5,accelerometer6_Y6,accelerometer6_Y7,accelerometer6_Y8,accelerometer6_Y9,accelerometer6_Z0,accelerometer6_Z1,accelerometer6_Z2,accelerometer6_Z3,accelerometer6_Z4,accelerometer6_Z5,accelerometer6_Z6,accelerometer6_Z7,accelerometer6_Z8,accelerometer6_Z9,accelerometer7_X0,accelerometer7_X1,accelerometer7_X2,accelerometer7_X3,accelerometer7_X4,accelerometer7_X5,accelerometer7_X6,accelerometer7_X7,accelerometer7_X8,accelerometer7_X9,accelerometer7_Y0,accelerometer7_Y1,accelerometer7_Y2,accelerometer7_Y3,accelerometer7_Y4,accelerometer7_Y5,accelerometer7_Y6,accelerometer7_Y7,accelerometer7_Y8,accelerometer7_Y9,accelerometer7_Z0,accelerometer7_Z1,accelerometer7_Z2,accelerometer7_Z3,accelerometer7_Z4,accelerometer7_Z5,accelerometer7_Z6,accelerometer7_Z7,accelerometer7_Z8,accelerometer7_Z9,accelerometer8_X0,accelerometer8_X1,accelerometer8_X2,accelerometer8_X3,accelerometer8_X4,accelerometer8_X5,accelerometer8_X6,accelerometer8_X7,accelerometer8_X8,accelerometer8_X9,accelerometer8_Y0,accelerometer8_Y1,accelerometer8_Y2,accelerometer8_Y3,accelerometer8_Y4,accelerometer8_Y5,accelerometer8_Y6,accelerometer8_Y7,accelerometer8_Y8,accelerometer8_Y9,accelerometer8_Z0,accelerometer8_Z1,accelerometer8_Z2,accelerometer8_Z3,accelerometer8_Z4,accelerometer8_Z5,accelerometer8_Z6,accelerometer8_Z7,accelerometer8_Z8,accelerometer8_Z9,impact_label,power_measurement
-128,-96,-16,-96,80,1152,-80,-464,-160,-208,-16,16,32,-64,48,-1824,16,48,112,288,832,752,352,304,720,2192,1072,656,832,160,672,144,208,352,464,-3024,80,544,336,112,-80,-144,-96,64,-224,-832,-16,-304,64,-160,832,960,1024,992,832,-528,656,768,560,944,48,384,16,192,16,464,496,96,16,112,48,-16,128,96,128,336,48,-16,64,208,1184,912,1280,1264,1504,112,1328,1744,1088,1408,368,192,304,240,176,-368,192,80,128,400,496,352,96,48,128,-752,96,-176,64,432,96,400,256,352,576,272,512,480,272,352,-240,224,224,-112,-192,-2688,16,32,-32,-176,-32,-16,-320,320,-96,1136,-336,128,80,-144,256,-176,512,896,1024,1376,864,1280,944,1168,224,432,176,96,0,1008,240,304,256,176,-368,-288,-320,-128,-320,832,-416,-112,-160,-208,240,496,432,16,-1280,48,576,704,496,128,-208,-96,-128,-160,-352,112,-288,-384,-240,-224,-256,-160,192,0,-784,400,112,-160,-288,-96,1040,176,560,672,1664,-144,560,512,560,688,80,80,48,144,-1504,-16,432,240,112,480,48,672,272,128,1920,-176,320,320,-64,496,400,688,896,608,784,32,288,416,288,256,96,208,384,368,416,208,432,480,320,224,-176,-16,-240,-352,-272,-16,-16,-448,96,-64,304,-208,112,288,192,-64,-208,160,-256,336,right,20499.42275524545
48,-48,-144,32,-96,1488,128,-368,112,-224,48,144,112,384,-16,-1888,-144,16,112,144,1008,400,672,736,816,2544,192,576,80,112,368,112,448,464,48,-2688,32,528,336,128,48,-144,-96,-16,-192,-928,-256,144,-80,-352,800,1008,960,1248,1168,528,1168,1312,1152,1408,256,96,176,144,144,-144,160,48,-32,144,128,80,16,-32,-48,544,176,-64,32,64,1088,1168,896,1088,864,-64,1344,1312,1136,1392,368,480,320,160,224,-32,208,160,256,192,240,0,160,112,48,-1504,160,160,304,432,368,448,432,176,48,160,480,592,448,320,-176,224,-240,-208,16,-2064,-112,-160,-128,-112,-480,-224,-304,-160,-352,1232,400,192,-144,-16,1616,448,624,368,400,1296,1168,1552,656,880,480,144,176,304,128,880,240,-64,16,224,-288,-96,-80,0,-144,16,-432,-592,-112,-112,464,544,192,320,560,96,560,304,480,752,-16,-272,-272,-192,-432,96,-544,16,-48,-112,-64,112,-192,80,-32,224,0,-352,-32,-208,208,560,160,976,928,160,528,368,160,800,400,112,-144,112,-528,-224,80,-16,48,96,160,144,384,208,624,-112,496,176,144,-240,-96,256,432,496,-208,-432,848,448,256,384,352,368,0,352,2528,848,128,688,48,272,-432,-160,-96,128,736,-288,-528,-208,-352,-176,-224,144,48,-384,2912,112,512,-208,-464,-80,right,21084.638689139036
-16,-80,-48,64,144,1472,16,-272,128,16,-176,-16,112,-240,256,-2656,32,-96,-176,128,656,608,560,944,640,704,736,912,960,1184,448,352,272,416,496,-2320,256,336,480,496,-112,-336,-384,-16,-80,-800,-176,-112,-448,32,704,1232,640,720,1168,928,864,400,1248,1168,32,96,400,80,224,-16,-64,80,224,224,208,-224,-256,240,208,256,64,-112,-16,-64,1344,864,1360,832,1008,-288,1072,1312,864,992,304,0,176,112,0,704,224,112,416,128,16,176,64,-160,240,-1984,272,64,16,288,416,352,688,272,144,256,48,832,-224,464,-208,-32,-192,64,-16,-1616,-160,32,-160,192,16,-16,-16,48,192,352,496,-624,-352,224,1264,960,688,640,768,1216,752,1056,640,560,272,192,384,48,432,496,176,80,16,240,-128,-80,-320,160,-448,304,-592,-96,-272,-96,96,336,336,944,288,160,336,-240,544,-176,-240,-400,-384,-240,-256,224,-352,-96,-448,-160,-16,464,-96,-192,-480,-208,-80,96,400,-48,1152,784,624,896,896,-288,656,432,336,16,144,224,192,176,-16,-176,-304,352,272,96,384,384,416,784,1216,-144,512,240,736,96,400,80,256,368,512,224,160,288,912,512,256,352,368,352,2864,672,624,64,96,320,-512,-240,-432,-64,528,-16,-656,-272,-160,-208,208,-80,32,-512,2768,-432,224,128,224,240,right,18402.88046563499
160,192,-80,48,-2224,-560,240,-128,-80,-16,0,320,0,240,2352,1664,32,368,32,-16,576,736,672,1024,1808,-272,160,592,624,320,448,272,304,464,256,352,1984,176,384,192,-336,-256,-480,-336,-16,-16,224,-128,-176,-384,768,1072,1072,528,848,512,1056,320,912,592,144,208,224,160,144,224,-592,160,80,240,224,-64,160,224,-32,192,-624,128,-16,80,864,1184,1216,1104,1152,1056,512,1200,1184,1392,304,272,448,416,256,48,-128,208,48,128,160,16,432,32,336,448,1920,240,-80,-80,608,432,480,384,592,144,-352,192,240,432,-128,80,112,-64,192,-96,1616,-144,-176,-80,160,32,-48,-80,144,-32,-432,-432,96,704,416,272,480,704,784,1184,192,1648,768,1088,272,304,400,304,192,128,-496,368,416,320,-80,-16,-288,-80,-448,-128,-544,-240,-272,-336,288,688,464,496,432,32,288,304,720,320,-256,-144,-208,-32,-80,-336,304,-720,16,-304,-288,-176,-448,-176,-224,-224,-336,464,-160,-272,704,384,672,304,800,544,-224,768,144,464,64,176,64,80,176,400,240,144,160,-32,432,160,-160,80,240,624,224,960,-16,352,480,224,432,400,48,928,560,592,0,80,192,272,192,352,272,-16,-144,288,272,368,-208,-224,-480,-416,-64,-1408,-160,-576,16,-64,-512,96,160,368,640,-560,0,624,112,32,left,18424.842736344523
192,-80,-16,-32,-2800,-848,-80,-416,-96,-112,-144,80,128,-144,2848,2096,176,-352,416,128,384,688,112,672,5904,-1392,-80,1184,352,800,160,256,480,336,464,400,2640,144,384,352,-16,-560,-400,-336,-144,-16,48,-96,480,-256,1104,896,864,880,752,864,448,272,1744,912,240,160,192,48,64,176,-1040,176,720,112,176,192,176,112,128,-64,-1120,464,16,-80,1008,1280,1200,1504,768,1280,32,880,1424,1104,224,208,304,240,288,80,352,160,176,224,-240,240,128,352,80,128,864,480,-80,96,736,320,448,256,112,656,0,-96,1008,16,-16,96,-64,-32,-80,-80,1808,128,-192,-176,176,-560,-176,-192,416,-80,-416,128,128,336,-240,352,32,480,704,1264,-192,464,1216,768,256,224,48,320,128,240,-736,208,0,96,-176,-192,-240,-224,-192,-480,-1056,-208,-496,-16,672,96,256,224,592,400,608,992,528,80,-464,-256,-176,-208,-304,-240,656,-160,-32,-80,-480,-48,64,-128,-480,-192,-432,-112,-96,-400,16,384,1456,800,864,400,240,80,624,112,-16,496,144,-64,160,464,128,384,-48,-16,272,336,-48,176,192,128,-16,-320,560,112,496,288,176,624,16,640,112,672,-400,0,304,80,208,480,336,176,208,-432,464,240,-96,384,-464,-224,-496,-304,-720,-832,80,-112,-240,96,352,256,480,-320,-128,528,-64,-64,left,14929.087181003008
80,240,32,48,-128,-3760,-16,240,-80,-208,-144,-16,304,160,96,304,-208,-288,-48,240,688,688,704,800,144,1568,608,448,1440,304,304,160,464,80,0,4080,-128,224,688,304,-352,416,-80,-176,64,1264,160,-32,-64,-32,848,736,1184,880,368,2848,1184,768,1120,800,272,176,448,-16,-6944,-1200,176,64,304,48,240,240,336,80,-10032,-528,-240,144,176,-160,1360,1280,1424,1248,-3024,704,960,912,1952,768,448,16,272,368,192,224,624,304,464,192,240,304,352,176,448,64,-240,-96,160,384,272,160,256,800,480,608,240,256,-192,416,192,-128,0,-64,-16,224,416,-128,-208,-16,-80,-192,112,400,208,-48,-400,-16,-224,304,768,736,800,832,784,912,1952,208,432,816,368,224,288,0,336,208,-448,-80,400,400,-224,-16,-320,-96,-224,-112,-848,-192,96,-288,608,64,416,352,0,224,560,288,448,816,-208,-32,-288,64,-400,-464,-112,96,-464,-272,-480,-16,-336,64,-208,-208,-112,-112,-80,-304,640,256,480,736,480,672,656,656,944,880,240,80,128,144,96,96,880,496,288,-96,-16,-224,-112,224,704,288,400,80,352,336,624,-240,560,272,400,144,96,-112,-240,336,224,-112,320,304,432,208,-128,-176,-144,224,-16,-432,-80,-48,192,-288,-336,-480,-416,368,480,160,720,-240,-96,192,-64,-624,-80,272,left,19404.83134158857
64,-160,-80,80,-48,-224,-48,176,-64,688,256,96,64,-48,464,432,-48,-272,-112,-2000,752,848,624,80,384,896,512,736,448,2848,480,288,384,384,304,336,240,496,272,240,64,-112,-128,-128,-128,144,-176,368,-32,-64,1408,976,752,464,640,416,544,784,1216,416,320,272,256,80,128,208,320,288,144,320,16,224,64,-192,144,192,96,224,64,192,1136,1152,1120,1168,1232,768,1088,1440,1408,1120,112,448,208,224,480,224,64,208,416,208,144,224,368,240,144,128,288,192,128,80,320,16,304,288,400,592,608,496,432,432,-208,-176,-48,-32,-160,-48,-192,-144,-176,-48,-96,-16,144,-32,-128,240,240,160,16,256,1392,720,1360,448,944,928,528,832,880,1424,480,256,288,240,208,416,176,144,288,144,-480,-160,-272,-256,-224,-32,-64,-16,-224,-144,192,912,496,368,640,-80,240,320,368,272,-256,-160,-16,-112,-32,-224,-192,-384,-96,-112,-112,-176,144,-64,224,-272,64,-176,128,-176,704,544,800,528,1008,432,800,592,720,608,128,16,736,48,320,-240,144,224,160,-592,176,464,208,-256,48,352,176,240,-112,1936,384,-464,416,112,480,592,352,480,112,480,528,304,256,304,256,272,192,160,240,256,-48,-144,-256,-464,-112,-368,-288,-128,-320,-432,336,192,48,160,0,32,-304,-96,144,-160,right,32209.349484791757
-64,160,-96,-208,944,-96,-448,-16,240,-80,-16,16,-464,-304,-2512,-208,368,-80,16,240,288,848,512,752,3904,64,1712,1136,432,720,320,224,496,336,368,-448,-208,832,224,320,-128,192,-16,-256,-160,-560,112,160,-512,-112,832,432,544,896,848,-4080,384,1376,944,576,192,128,224,144,432,1344,32,224,16,128,32,80,208,-16,2176,848,144,-368,-80,32,1120,1504,1440,1488,-944,208,1040,1536,1280,1168,32,240,208,48,272,-112,336,48,144,432,80,208,32,256,-144,1760,-256,272,240,64,160,704,544,272,176,-320,384,624,-352,352,208,-224,0,-32,-64,-336,-688,-112,-160,-192,-48,-96,-96,-144,64,-224,464,112,80,-128,1040,1344,880,560,992,576,1408,1248,416,1168,320,176,464,400,272,1104,64,48,272,0,-352,-32,-240,-224,-112,1072,-96,-368,-400,-368,688,256,256,688,32,-272,-48,656,96,736,-480,-144,-256,-448,-16,384,-16,-544,80,-368,-80,-176,-304,-272,-208,1552,-512,-16,-240,-656,304,336,256,672,448,-304,560,256,864,592,176,96,48,240,32,1456,-320,608,96,112,-96,176,32,-128,208,-976,160,32,-464,208,272,544,576,272,640,256,-112,272,288,848,256,192,272,496,176,-272,624,144,112,64,-272,224,-464,-272,-144,-16,224,-672,-112,-208,288,-320,-160,-432,-256,-48,96,-16,-432,-240,right,22028.327726388252
-16,-16,-80,208,-80,-1712,176,-368,-224,208,96,-32,128,-48,288,-64,-128,576,-160,352,272,576,464,1152,800,6496,528,336,1024,528,320,288,272,272,544,-3216,16,768,272,480,-16,-128,-352,224,0,-1568,-32,-80,-48,-352,896,976,848,816,1072,-352,656,960,528,864,48,96,144,96,464,1184,-176,176,432,240,48,-16,160,-240,176,1296,64,-208,80,-48,1296,1296,1104,800,1104,-416,1024,1280,1360,1280,432,16,256,208,1408,48,48,384,336,304,96,-112,144,336,-4464,48,32,464,240,112,256,640,320,240,4656,-112,464,0,720,64,-208,48,-64,-160,-144,-320,-1472,-288,-192,-192,-16,-272,-64,256,-304,-336,-176,32,112,-64,432,720,-160,896,48,144,32,1296,688,736,192,448,336,208,256,80,1184,192,208,48,-320,-208,-80,-448,-304,-304,336,-16,-144,-112,80,192,464,704,256,160,-176,368,1040,256,-160,-416,-384,-400,-240,-208,416,-304,-608,176,-144,-336,-288,-304,-32,-176,752,-560,48,-288,624,592,-64,896,1040,864,-80,368,656,368,240,192,304,80,176,80,480,-304,624,272,-176,336,-192,496,336,64,-336,1008,336,144,368,752,128,368,656,304,160,304,912,128,336,288,64,256,416,240,656,224,32,48,-16,-416,-144,-160,-96,-352,144,112,-656,-752,272,736,-448,400,864,-256,-32,-272,96,-992,right,19426.98097191813
-64,32,64,176,-32,-240,240,-80,-144,-48,128,-16,-32,304,48,-32,-16,32,-240,2064,208,832,368,1360,1216,16,976,448,64,-1056,320,112,352,208,400,432,384,304,352,16,160,240,64,-128,-48,-80,112,-48,-192,-320,1072,880,752,336,1280,1168,1136,608,1312,416,128,416,336,384,192,208,48,192,64,16,80,32,496,32,144,96,-16,48,240,16,1152,1680,1120,784,1152,1136,1072,1168,1184,1120,176,480,208,240,272,432,0,48,288,208,80,96,208,240,-240,80,384,480,224,64,1008,272,416,800,448,336,256,544,352,432,-96,-144,0,-160,-64,-144,-96,-160,-80,-96,128,240,-96,96,112,160,608,432,192,-128,576,1072,1296,656,528,272,1504,768,800,1136,240,336,352,112,224,32,240,112,160,192,-32,-160,-224,-48,-32,-320,-80,-80,-272,128,288,32,592,160,288,64,880,256,80,896,-368,-240,-288,-256,-352,-368,-160,-224,-496,-576,176,-48,32,-480,16,-16,-176,32,-192,208,640,720,592,368,0,464,448,736,304,704,208,176,128,368,240,240,48,80,160,544,-16,336,256,336,160,-32,128,304,432,224,480,944,128,608,448,64,672,384,256,1408,32,416,400,320,208,304,208,352,-112,-176,-64,-288,-384,-480,-48,-192,-176,-32,-112,-2032,272,-64,160,-192,-192,32,32,416,448,-336,left,33139.759585364045
